GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M0143,,Canada,Genesee Coal Mine,,,Capital Power LP [50%]; Westmoreland Coal Company [50%],,Capital Power LP [50%]; Westmoreland Coal Company [50%],USA,,5,,Surface,Open Pit,74,50,Estimate,369,Exact,Subbituminous,Thermal,1988,2023,Transition to other type of energy,Rehabilitation,,Warburg,Edmonton,Alberta,Northern America,Americas,"53,314555","-114,286386",Exact,Coal Plant,Genesee power station,https://www.gem.wiki/Genesee_power_station,,,,,,N,N,N
M0147,,Canada,Highvale Coal Mine,,,TransAlta,,TransAlta,Canada,,9,2019,Surface,Open Pit,"126,2",60,Estimate,,,Subbituminous,Thermal,1970,2021,Closure of power plant,Rehabilitation,,Wabamun Lake,,Alberta,Northern America,Americas,"53,527572","-114,711063",Exact,Terminal (Export),,,,,,,,N,N,N
M5591,,Canada,Obed Mountain Mine,,,Westmoreland,,,,"3,2","0,62",2012,Surface,Open Pit,"74,6",60,Estimate,,,Bituminous,Thermal,1984,2013,Economically unviable,Rehabilitation,,Hinton,,Alberta,Northern America,Americas,"53,51800315","-117,3424698",Approximate,Terminal (Export),,,,,,,,N,N,N
M0153,,Canada,Paintearth Coal Mine,,,Prairie Mines and Royalty LLC,,Westmoreland,USA,,"2,7",2019,Surface,Open Pit,"62,26",50,Estimate,127,Exact,Subbituminous,Thermal,1956,2021,Transition to other type of energy,Rehabilitation,,Forestburg,,Alberta,Northern America,Americas,"52,457963","-112,161765",Exact,Coal Plant,Battle River Power Station,https://www.gem.wiki/Battle_River_power_station,,,,,,N,N,N
M4363,,Canada,Quinsam Coal Mine,,,Quinsam Coal Corp,,ERP Compliant Fuels LLC,USA,,"0,05",2017,Underground,Bord and Pillar,,494,Estimate,66,Exact,Bituminous,Thermal,1986,2019,Financial difficulty,Abandoned,Comox,Campbell River,Strathcona,Vancouver Island,Northern America,Americas,"49,9307126","-125,4847719",Approximate,Other Industrial,,,,,,,,N,N,N
M0155,,Canada,Sheerness Coal Mine,,,Prairie Mines and Royalty LLC,,Westmoreland,USA,"3,4","3,3",2018,Surface,Strip,70,50,Estimate,110,Exact,Subbituminous,Thermal,1984,2021,Transition to other type of energy,Rehabilitation,,Hanna,,Alberta,Northern America,Americas,"51,5050789","-112,0206939",Exact,Coal Plant,Sheerness Power Station,https://www.gem.wiki/Sheerness_power_station,,,,,,N,N,N
M1763,,Canada,Stellarton Coal Mine,,,Pioneer Coal Ltd,,Nova Construction Co Ltd,Canada,,"0,2",2017,Surface,Open Pit,"1,2",65,Exact,190,Estimate,Subbituminous,Thermal,1996,2023,,,Pictou,Stellarton,,Nova Scotia,Northern America,Americas,"45,56475053","-62,67296499",Exact,Coal Plant,Trenton Generating Station,https://www.gem.wiki/Trenton_Generating_Station,,,,,,N,N,N
M0160,,Canada,Wolverine Coal Mine,Perry Creek,,Conuma Resources Ltd,,ERP Compliant Fuels,USA,"2,15","0,7",2024,Surface,Open Pit,"10,47",60,Estimate,325,Exact,Bituminous,Met,2006,2024,Reserve exhausted,Unknown,Peace River,Tumbler Ridge,Peace River,British Columbia,Northern America,Americas,"55,0608535","-121,2530692",Exact,,,,"0,8","67,2",2024,national government data,G10400,N,N,N
M0162,,Chile,Invierno Coal Mine,Riesco Island Project,Mina Invierno,Ultramar Group,,Ultramar Group,Canada,6,"2,3",2019,Surface,Open Pit,"6,1",50,Estimate,1000,Estimate,Subbituminous,Thermal,2013,2020,Government order,Rehabilitation,,Rio Verde,Riesco Island,Magallanes,Latin America and the Caribbean,Americas,"-53,0006953","-72,4206119",Exact,Terminal (Export),,,,,,,,N,N,N
M5460,,China,Anhuai Baishan Coal Mine,,皖北煤电集团百善煤矿,Wanbei Coal Electricity Group,皖北煤电集团,,China,"0,9",,,Underground,,,456,Estimate,,Estimate,,,1977,2016,,,,安徽省淮北市濉溪县百善镇,Huaibei,Anhui,Eastern Asia,Asia,"33,785716","116,680522",Approximate,,,,,,,,,N,N,N
M5461,,China,Anhuai Liuqiao No. 1 Coal Mine,,皖北煤电集团公司刘桥一矿,Wanbei Coal Electricity Group,皖北煤电集团,,China,"1,4",,,Underground,,,456,Estimate,,Estimate,,,1981,2017,,,,安徽省淮北市濉溪县刘桥镇,Huaibei,Anhui,Eastern Asia,Asia,"33,921481","116,696702",Approximate,,,,,,,,,N,N,N
M5462,,China,Anhuai Panyi Coal Mine,Pingluo,淮南矿业集团潘一矿,Huainan Mining Group,淮南矿业集团,,China,6,,,Underground,,,456,Estimate,,Estimate,,,1983,2018,,,,安徽省淮南市潘集区,Huainan,Anhui,Eastern Asia,Asia,"32,767625","116,944542",Approximate,,,,,,,,,N,N,N
M5459,,China,Anhuai Wulonghu Coal Mine,,皖北煤电集团公司卧龙湖煤矿,Wanbei Coal Electricity Group,皖北煤电集团,,China,"0,9",,,Underground,,,456,Estimate,,Estimate,,,2008,2018,,,,安徽省淮北市濉溪县铁佛镇,Huaibei,Anhui,Eastern Asia,Asia,"33,829301","116,480407",Exact,,,,,,,,,N,N,N
M5458,,China,Anhuai Yangzhuang Coal Mine,,淮北矿业集团杨庄煤矿,Huaibei Mining Co Ltd,淮北矿业股份有限公司,,China,"1,65",,,Underground,,,456,Estimate,,Estimate,,,1966,2019,,,,安徽省淮北市烈山区杨庄,Huaibei,Anhui,Eastern Asia,Asia,"33,898454","116,80083",Approximate,,,,,,,,,N,N,N
M5470,,China,Anhui Daihe Coal Mine,,淮北矿业集团有限责任公司岱河煤矿,Huaibei Mining Group Co Ltd,淮北矿业集团有限责任公司,,China,"1,2",,,Underground,,,456,Estimate,,Estimate,,,1965,2017,,,,安徽省淮北市杜集区高岳,Huaibei,Anhui,Eastern Asia,Asia,"33,987487","116,835875",Approximate,,,,,,,,,N,N,N
M5468,,China,Anhui Haizi Coal Mine Big Shaft,,淮北矿业集团有限责任公司海孜煤矿大井,Huaibei Mining Group Co Ltd,淮北矿业集团有限责任公司,,China,"1,2",,,Underground,,,456,Estimate,,Estimate,,,,2016,,,,安徽省淮北市濉溪县韩村镇,Huaibei,Anhui,Eastern Asia,Asia,"33,631295","116,633118",Exact,,,,,,,,,N,N,N
M5194,,China,Anhui Huibei Shuanglong Coal Mine,,淮北双龙矿业有限责任公司,Huaibei Shuanglong Mining Co Ltd,淮北双龙矿业有限责任公司,,,"0,66",,2019,Underground,,"19,39",456,Estimate,728,Exact,Bituminous,Met,2004,2024,,,,安徽省淮北市杜集区矿山集镇,Huaibei,Anhui,Eastern Asia,Asia,"33,983677","116,868627",Exact,,,,,,,,,N,N,N
M5469,,China,Anhui Liudian Coal Mine,,淮北矿业集团有限责任公司刘店煤矿,Huaibei Mining Group Co Ltd,淮北矿业集团有限责任公司,,China,"1,5",,,Underground,,,456,Estimate,,Estimate,,,,2016,,,,安徽省亳州市涡阳县龙山镇,Bozhou,Anhui,Eastern Asia,Asia,"33,57989","116,312643",Approximate,,,,,,,,,N,N,N
